Id,Label,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Strongly-Connected ID,Clustering Coefficient,Eigenvector Centrality
Armaan-Sanket,Armaan-Sanket,1,2,3,3.0,1.0,2.0,8.0,4.410876132930514,0.0,5.4929964E-4,6.6822587E-4,6,9.334992894237329E-4,0,11,0.0,9.736343947648743E-4
Joseph-Sushil,Joseph-Sushil,1,3,4,4.0,1.0,3.0,6.0,2.9060606060606062,0.125,5.4929964E-4,6.6822587E-4,2,6.125726586549755E-4,0,6,0.5,0.01402821370608486
Jeff-Chong,Jeff-Chong,0,1,1,1.0,0.0,1.0,8.0,4.410876132930514,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,12,0.0,0.0
Sameed-Khan,Sameed-Khan,0,1,1,1.0,0.0,1.0,8.0,4.410876132930514,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,13,0.0,0.0
Tamilthaaragai-Muthukumar,Tamilthaaragai-Muthukumar,2,2,4,4.0,2.0,2.0,8.0,4.1909090909090905,0.12142857142857143,8.2394946E-4,0.0010023388,6,5.749172040990689E-4,0,6,0.25,0.00835136764067522
Mark-Harrison,Mark-Harrison,31,3,34,34.0,31.0,3.0,7.0,4.027272727272727,568.6179857763774,0.008788794,0.009689275,6,0.009776934948524338,0,6,0.05965909,0.13666604221254086
Subhakar-Manepalli,Subhakar-Manepalli,3,17,20,24.0,3.0,21.0,6.0,2.5454545454545454,238.94609108657215,0.0010985993,0.0010023388,0,7.778686000860697E-4,0,6,0.14052288,0.017070950303712043
Lalit-Palariya,Lalit-Palariya,3,11,14,17.0,3.0,14.0,6.0,2.6515151515151514,299.992827193664,0.0010985993,0.0013364517,4,7.345420587883793E-4,0,6,0.12878788,0.012947352896085906
Shambhavi-Choudhary,Shambhavi-Choudhary,2,1,3,3.0,2.0,1.0,8.0,4.412121212121212,0.0,8.2394946E-4,6.6822587E-4,6,7.835984855319597E-4,0,6,0.33333334,0.010608394319880352
William-Treseder,William-Treseder,11,1,12,15.0,14.0,1.0,8.0,4.418181818181818,0.0,0.0032957979,0.0040093553,5,0.00796802710957511,0,6,0.13636364,0.10752294748412751
Anu-Rag,Anu-Rag,0,3,3,3.0,0.0,3.0,6.0,3.4229607250755287,0.0,0.0,3.3411293E-4,5,5.367386671337139E-4,0,14,0.5,0.0
Miljan-Vukajlovic,Miljan-Vukajlovic,3,7,10,13.0,3.0,10.0,6.0,2.6636363636363636,133.32195484452293,0.0010985993,0.0010023388,6,6.55339643993126E-4,0,6,0.14285715,0.017435262367283294
Monny-Carvalho,Monny-Carvalho,0,1,1,2.0,0.0,2.0,8.0,4.410876132930514,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,15,0.0,0.0
Tyler-Raciti,Tyler-Raciti,3,8,11,14.0,3.0,11.0,6.0,3.2333333333333334,184.76996483234242,0.0010985993,0.0010023388,6,7.167797647480895E-4,0,6,0.16666667,0.010942679800445144
Jana-Rubio,Jana-Rubio,2,2,4,4.0,2.0,2.0,6.0,2.9515151515151516,17.20319613899796,8.2394946E-4,0.0010023388,6,5.744022116288076E-4,0,6,0.33333334,0.00886607873115632
Anil-Khanna,Anil-Khanna,1,6,7,7.0,1.0,6.0,6.0,2.6824925816023737,50.48749639478734,5.4929964E-4,6.6822587E-4,2,5.885230490837681E-4,0,20,0.43333334,0.00109792815334685
Surendar-Nambirajan,Surendar-Nambirajan,0,5,5,7.0,0.0,7.0,7.0,3.471299093655589,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,21,0.25,0.0
David-Reghay,David-Reghay,3,3,6,7.0,3.0,4.0,6.0,2.8727272727272726,75.20361466713106,0.0010985993,0.0013364517,6,8.401384753950951E-4,0,6,0.33333334,0.022966566876378425
Siva-Ram-AK,Siva-Ram-AK,10,12,22,23.0,10.0,13.0,6.0,2.5606060606060606,1014.6698369961111,0.003021148,0.0033411293,1,0.0013889653141996336,0,6,0.12105263,0.05554432161185253
Abhimanyu-Kumar,Abhimanyu-Kumar,1,2,3,3.0,1.0,2.0,7.0,3.0606060606060606,0.0,5.4929964E-4,6.6822587E-4,3,5.863757400373478E-4,0,6,0.5,0.0014447881968727885
Prasad-Karkhanis,Prasad-Karkhanis,1,19,20,20.0,1.0,19.0,6.0,2.687878787878788,46.03563723145939,5.4929964E-4,6.6822587E-4,0,6.720169721815234E-4,0,6,0.09736842,0.0015380629679119986
Dong-Lee,Dong-Lee,0,2,2,2.0,0.0,2.0,6.0,3.5075528700906347,0.0,0.0,3.3411293E-4,5,5.367386671337139E-4,0,22,0.5,0.0
Amit-Iyer,Amit-Iyer,2,12,14,14.0,2.0,12.0,6.0,2.590909090909091,166.7825012200383,8.2394946E-4,0.0010023388,2,6.327880229219979E-4,0,6,0.2628205,0.007579536374943025
Mhd-Hassan,Mhd-Hassan,3,19,22,33.0,3.0,30.0,6.0,2.5242424242424244,656.8072870983809,0.0010985993,0.0013364517,5,7.767833925117097E-4,0,6,0.17251462,0.022284690312023018
Suyash-Shrivastava,Suyash-Shrivastava,1,1,2,2.0,1.0,1.0,8.0,4.409090909090909,0.0,5.4929964E-4,6.6822587E-4,0,6.024987004195687E-4,0,6,0.5,0.007130350559242462
Abel-Moyo,Abel-Moyo,4,4,8,10.0,4.0,6.0,8.0,4.3969696969696965,0.8501757024648939,0.0013732491,0.0013364517,1,8.510011340674573E-4,0,6,0.23214285,0.023816619184836397
Eric-Beauzay,Eric-Beauzay,3,9,12,13.0,3.0,10.0,7.0,3.3636363636363638,54.90513355985055,0.0010985993,0.0013364517,2,7.591958379537212E-4,0,6,0.20454545,0.009232237027760477
Harshit-Misra,Harshit-Misra,1,4,5,5.0,1.0,4.0,7.0,3.496969696969697,482.1316732918671,5.4929964E-4,6.6822587E-4,6,5.568870974141247E-4,0,6,0.2,0.005542210770036887
Renan-Prasta-Jenie,Renan-Prasta-Jenie,14,16,30,35.0,15.0,20.0,6.0,2.4424242424242424,3314.723505267612,0.0041197473,0.005011694,6,0.0018773631538495635,0,6,0.0952381,0.05947676350491963
Joshua-Prince,Joshua-Prince,1,5,6,6.0,1.0,5.0,6.0,2.903323262839879,35.206429399162396,5.4929964E-4,6.6822587E-4,2,5.885230490837681E-4,0,16,0.23333333,0.00109792815334685
Daniel-Adeyemo,Daniel-Adeyemo,2,2,4,5.0,3.0,2.0,6.0,2.909090909090909,12.575310901382117,8.2394946E-4,0.0010023388,2,6.799970617306075E-4,0,6,0.33333334,0.01875302467692914
Wang-Zhe,Wang-Zhe,0,5,5,5.0,0.0,5.0,7.0,2.9697885196374623,0.0,0.0,3.3411293E-4,1,5.367386671337139E-4,0,23,0.3,0.0
Diana-Aulicino,Diana-Aulicino,1,6,7,7.0,1.0,6.0,7.0,3.7363636363636363,0.7956204952698642,5.4929964E-4,6.6822587E-4,2,6.941611388413206E-4,0,6,0.23809524,0.0036679245344418345
Venkatesh-Jaisankar,Venkatesh-Jaisankar,4,1,5,5.0,4.0,1.0,8.0,4.409090909090909,0.0,0.0013732491,0.0016705646,6,6.620863821700276E-4,0,6,0.2,0.008729343891891448
Jen-Holt,Jen-Holt,0,4,4,4.0,0.0,4.0,6.0,3.7522658610271904,0.0,0.0,3.3411293E-4,2,5.367386671337139E-4,0,24,0.33333334,0.0
Dharmendra-Pandey,Dharmendra-Pandey,0,3,3,3.0,0.0,3.0,7.0,3.8700906344410875,0.0,0.0,3.3411293E-4,6,5.367386671337139E-4,0,25,0.33333334,0.0
Manish-Kamble,Manish-Kamble,0,4,4,4.0,0.0,4.0,6.0,2.8731117824773413,0.0,0.0,3.3411293E-4,0,5.367386671337139E-4,0,26,0.5,0.0
Hongjiang-Liu,Hongjiang-Liu,4,2,6,7.0,4.0,3.0,8.0,4.406060606060606,0.17402597402597403,0.0013732491,0.0016705646,4,6.841038378955574E-4,0,6,0.4,0.021994401006102747
Mahfuz-Ahmed,Mahfuz-Ahmed,1,7,8,8.0,1.0,7.0,6.0,2.688821752265861,53.64246941291826,5.4929964E-4,6.6822587E-4,2,5.885230490837681E-4,0,17,0.26785713,0.00109792815334685
Hemant-Malik,Hemant-Malik,1,10,11,11.0,1.0,10.0,6.0,2.6424242424242426,34.92761449771554,5.4929964E-4,6.6822587E-4,3,6.232326699111884E-4,0,6,0.29090908,0.004931111853279484
Narendra-Joshi,Narendra-Joshi,1,9,10,10.0,1.0,9.0,7.0,2.9454545454545453,125.05053640923508,5.4929964E-4,6.6822587E-4,2,6.041630702093458E-4,0,6,0.22222222,0.0047248109708442855
