Id,Label,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Strongly-Connected ID,Clustering Coefficient,Eigenvector Centrality
Natalie-Brownell,Natalie-Brownell,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,20,5.205947203795761E-4,0,1025,0.0,0.0029676092115891372
Judy-Holliday,Judy-Holliday,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,53,0.0,0.2967609211589137
Sarah-Davies-Hull,Sarah-Davies-Hull,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,54,0.0,0.2967609211589137
Suzanne-Marie-Sullivan,Suzanne-Marie-Sullivan,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,55,0.0,0.2967609211589137
Eivind-Kjørstad,Eivind-Kjørstad,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,56,0.0,0.2967609211589137
Margaret-Weiss,Margaret-Weiss,1,0,1,2.0,2.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,57,0.0,0.2967609211589137
Daniel-Helman,Daniel-Helman,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,58,0.0,0.2967609211589137
Alex-K-Chen,Alex-K-Chen,0,33,33,51.0,0.0,51.0,3.0,1.9980059820538385,0.0,0.0,0.004854369,0,4.7981039363461823E-4,0,1048,0.011363637,0.0
Varun-Edamana,Varun-Edamana,0,3,3,3.0,0.0,3.0,1.0,1.0,0.0,0.0,0.004854369,3,4.7981039363461823E-4,1,1052,0.0,0.0
Matz-Sharma,Matz-Sharma,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,3,6.157581494511443E-4,1,1049,0.0,0.0029676092115891372
Sonia-Gossie,Sonia-Gossie,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,3,6.157581494511443E-4,1,1050,0.0,0.0029676092115891372
Sandy-Cooper,Sandy-Cooper,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,3,6.157581494511443E-4,1,1051,0.0,0.0029676092115891372
Aleksandr-Morgan,Aleksandr-Morgan,1,0,1,2.0,2.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,59,0.0,0.2967609211589137
Saniya-Bhutta,Saniya-Bhutta,0,6,6,6.0,0.0,6.0,3.0,2.0254323499491353,0.0,0.0,0.004854369,0,4.7981039363461823E-4,0,1054,0.16666667,0.0
Sarah-Marshall,Sarah-Marshall,2,0,2,2.0,2.0,0.0,0.0,0.0,0.0,7.629705E-4,0.0,0,5.519194196549504E-4,0,60,0.5,0.29972853037050284
Aziz-Gilani,Aziz-Gilani,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,5.477842715428812E-4,0,1053,0.0,0.0029676092115891372
Antonio-Ravari,Antonio-Ravari,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,61,0.0,0.2967609211589137
Miguel-Valdespino,Miguel-Valdespino,3,0,3,6.0,6.0,0.0,0.0,0.0,0.0,0.001017294,0.0,0,5.764924829221205E-4,0,62,0.16666667,0.30547340672084533
Syed-Zishan-Hussain,Syed-Zishan-Hussain,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,63,0.0,0.2967609211589137
Jaber-Mohammad,Jaber-Mohammad,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,64,0.0,0.2967609211589137
Zeba-Khan,Zeba-Khan,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,65,0.0,0.2967609211589137
Ali-Shahzad,Ali-Shahzad,1,0,1,2.0,2.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,66,0.0,0.2967609211589137
Abdulrahman-Khan,Abdulrahman-Khan,2,0,2,2.0,2.0,0.0,0.0,0.0,0.0,7.629705E-4,0.0,43,5.65514195236603E-4,0,67,0.0,0.29972853037050284
